Country ,Total,2Let
China,24070188,CN
Japan,9558888,J
South Korea,4859901,KR
India,179448,IND
Malaysia,2497741,MY
Singapore,2113738,SG
Indonesia,997039,INDO
Phillipines,1531100,PH
Thailand,1346517,TH
Vietnam,1489353,VN
Canada,579657,CA
United States of America,2749831,US
Mexico,18915,MX
Brazil,23544,BR
Argentina,6906,AR
Belgium,37219,B
France,237646,F
Germany,318773,D
Italy,91005,I
Netherlands,121488,NL
Switzerland,54181,CH
Spain,58422,E
United Kingdom,331443,GB
Austria,39408,A
Greece,8717,GR
Sweden,44684,S
Russian,53023,RUS
Australia,463704,AU
New Zealand,77313,NZ
South Africa,27195,ZA
